Placa de Video MSI GeForce RTX 2060 Ventus OC, 12GB, GDDR6, 192-bit, 912-V375-684;2,599.99;2,954.53
Placa de Video PowerColor Radeon RX 6400 Low Profile, 4GB, GDDR6, 64-bit, AXRX-6400-LP-4GBD6-DH;1,149.03;1,305.72
Placa de Video PowerColor Radeon RX 6400 ITX, 4GB, GDDR6, 64-bit, AXRX-6400-4GBD6-DH;989.99;1,124.99
Placa de Video PowerColor Radeon RX 6500 XT ITX, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH;1,599.05;1,817.10
Placa de Video PowerColor Radeon RX 6500 XT Fighter OC, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH/OC;1,599.05;1,817.10
Placa de Video PowerColor Radeon RX 6750 XT Red Devil OC, 12GB, GDDR6, 192-bit, AXRX-6750XT-12GBD6-3DHE/OC;4,699.15;5,339.94
Placa de Video PowerColor Radeon RX 6950 XT Red Devil OC, 16GB, GDDR6, 256-bit, AXRX-6950XT-16GBD6-3DHE/OC;8,999.00;10,226.14
Placa de Video MSI Radeon RX 6950 XT Gaming X Trio, 16GB, GDDR6, 256-bit, 912-V395-041;9,909.00;11,260.23
Placa de Video MSI Radeon RX 6750 XT Mech 2X, 12GB, GDDR6, 192-bit, 912-V399-002;4,839.00;5,498.86
Placa de Video MSI Radeon RX 6750 XT Gaming X Trio, 12GB, GDDR6, 192-bit, 912-V399-001;5,069.00;5,760.23
Placa de Video MSI Radeon RX 6650 XT Mech 2X, 8GB, GDDR6, 128-bit, 912-V502-062;2,899.09;3,294.42
Placa de Video MSI Radeon RX 6650 XT Gaming X, 8GB, GDDR6, 128-bit, 912-V502-061;2,899.09;3,294.42
Placa de Video Gigabyte GeForce RTX 2060 D6, 6GB, GDDR6, 192-bit, GV-N2060D6-6GD-REV2.0-NAC;3,899.90;4,431.70
Placa de Video ASRock Radeon RX 6500 XT Phantom Gaming D OC, 4GB, GDDR6, 64-Bit, 90-GA3DZZ-00UANF;1,799.00;2,044.32
Placa de Video Gigabyte Radeon RX 6500 XT Gaming OC, 4GB, GDDR6, 64-Bit, GV-R65XTGAMING OC-4GD;1,299.89;1,477.15
Placa de Video Gigabyte Radeon RX 6500 XT Eagle, 4GB, GDDR6, 64-Bit, GV-R65XTEAGLE-4GD;1,399.00;1,589.77
Placa de Video Galax GeForce RTX 3070 Ti 1-Click OC, 8GB, GDDR6X, 256-bit, 37ISM6MD4COC-NAC;6,899.90;7,840.79
Placa de Video Asus GeForce RTX 3080 TUF Gaming, LHR, 10GB, GDDR6X, 320-bit, TUF-RTX3080-10G-V2-GAMING;5,899.19;6,703.62
Placa de Video Gainward GeForce RTX 3080 Ti Phantom, 12GB, GDDR6X, 384-bit, NED308T019KB-1020M;11,699.99;13,295.44
Placa de Video Gainward GeForce RTX 3080 Ti Phoenix, 12GB, GDDR6X, 384-bit, NED308T019KB-132AX;11,299.99;12,840.90
Placa de Video Gainward GeForce RTX 3080 Phantom+, LHR, 10GB, GDDR6, 320-bit, NED3080U19IA-1020M;8,099.99;9,204.53
Placa de Video Gainward GeForce RTX 3060 Ti Ghost V1, LHR, 8GB, GDDR6, 256-bit, NE6306T019P2-190AB;3,599.99;4,090.90
Placa de Video Galax GeForce RTX 3070 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2KCH-NAC;5,999.90;6,818.07
Placa de Video Gigabyte GeForce RTX 3080 Gaming OC, LHR, 10GB, GDDR6X, 320-bit, GV-N3080GAMINGOC-10GD-REV2.0;6,699.99;7,613.62
Placa de Video MSI GeForce GTX 1650 Ventus XS OC, 4GB, GDDR5, 128-bit, 912-V809-3060;1,429.05;1,623.92
Placa de Video Asus GeForce RTX 3080 TUF Gaming OC, LHR, 10GB, GDDR6X, 320-bit, TUF-RTX3080-O10G-V2-GAMING;5,899.19;6,703.62
Placa de Video PNY Quadro T600, 4GB, GDDR6, 128-bit, VCNT600-PB;1,459.99;1,659.08
Placa de Video ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, 128-Bit, 90-GA2RZZ-00UANF;2,999.09;3,408.06
Placa de Video Gigabyte Radeon RX 6800 XT Aorus Master, 16GB, GDDR6, 2‎56-bit, GV-R68XTAORUS M-16GD;11,825.13;13,437.65
Placa de Video Gigabyte Radeon RX 6600 Eagle, 8GB, GDDR6, 128-Bit, GV-R66EAGLE-8GD;3,099.00;3,521.59
Placa de Video PNY Quadro T400, 2GB, GDDR6, 64-bit, VCNT400-PB-IMP;869.00;987.50
Placa de Video PNY Quadro RTX A5000, 24GB, GDDR6, 384-bit, VCNRTXA5000-PB;16,859.00;19,157.96
Placa de Video PNY Quadro RTX A4000, 16GB, GDDR6, 256-bit, VCNRTXA4000-PB;7,749.00;8,805.68
Placa de Video Gigabyte GeForce RTX 3070 Aorus Master, LHR, 8GB, GDDR6, 256-bit, GV-N3070AORUS M-8GD REV 2.0;6,099.99;6,931.81
Placa de Video Galax GeForce RTX 3070 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2KCH;3,899.99;4,431.81
Placa de Video MSI GeForce RTX 3060 Ti Gaming X, LHR, 8GB, GDDR6, 256-bit, 912-V397-234;3,599.11;4,089.90
Placa de Video Galax Geforce GTX 1050 Ti 1-Click OC, 4GB, GDDR5, 128-Bit, 50IQH8DSQ3CC-NAC;1,559.98;1,772.71
Placa de Video Asus Radeon RX 6700 XT Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RX6700XT-O12G;3,599.00;4,089.77
Placa de Video Asus GeForce RTX 3060 ROG Strix OC, LHR, 12GB, GDDR6, 192-bit, ROG-STRIX-RTX3060-O12G-V2-GAMING;3,199.99;3,636.35
Placa de Video Asus GeForce RTX 3060 TUF Gaming OC, 12GB, GDDR6, 192-bit, TUF-RTX3060-O12G-V2-GAMING;3,289.99;3,738.62
Placa de Video Asus GeForce RTX 3060 Ti KO OC, LHR, 8GB, GDDR6, 256-bit, KO-RTX3060TI-O8G-V2-GAMING;3,699.99;4,204.53
Placa de Video Asus GeForce RTX 3080 ROG Strix OC, LHR, 10GB, GDDR6X, 320-bit, ROG-STRIX-RTX3080-O10G-V2-GAMING;6,299.99;7,159.08
Placa de Video Gigabyte Radeon RX 6700 XT Aorus Elite, 12GB, GDDR6, 192-bit, GV-R67XTAORUS E-12GD;7,099.00;8,067.05
Placa de Video Asus GeForce RTX 3070 KO OC LHR, 8GB, GDDR6, 256-bit, KO-RTX3070-O8G-V2-GAMING;4,199.98;4,772.71
Placa de Video Galax Geforce RTX 3060 Ti 1-Click OC LHR, 8GB, GDDR6, 256-Bit, 36ISL6MD1VQW;3,699.99;4,204.53
Placa de Video Asus Radeon RX 6600 XT ROG Strix OC Edition, 8GB, GDDR6, 128-Bit, ROG-STRIX-RX6600XT-O8G-GAMING;2,999.09;3,408.06
Placa de Video Sapphire Radeon RX 6600 XT Pulse OC, 8GB, GDDR6, 128-Bit, 11309-03-20G;3,169.00;3,601.14
Placa de Video ASRock Radeon RX 6600 XT Challenger D OC, 8GB, GDDR6, 128-Bit, 90-GA2TZZ-00UANF;3,499.00;3,976.14
Placa de Video MSI GeForce RTX 3080 Ventus 3x Plus, LHR, 10GB, GDDR6X, 320-bit, 912-V389-263;0;0
Placa de Video MSI GeForce RTX 3080 Ventus 3x Plus, LHR, 12GB, GDDR6X, 384-bit, 912-V389-428;0;0
Placa de Video MSI GeForce RTX 3080 Ti Ventus 3x OC, 12GB, GDDR6X, 384-bit, 912-V389-059;0;0
Placa de Video Gigabyte GeForce RTX 3080 Gaming OC, 12GB, GDDR6X, 384-bit, GV-N3080GAMING OC-12GD;0;0
Placa de Video Gigabyte GeForce RTX 3060 Ti Vision OC, LHR, 8GB, GDDR6, 256-bit, GV-N306TVISION OC-8GD REV2.0;0;0
Placa de Video Galax Geforce RTX 3080 SG 1-Click OC, LHR, 12GB, GDDR6X, 384-bit, 38NOM5MD99SS;0;0
Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V4;0;0
Placa de Video Gigabyte GeForce RTX 3070 Ti Vision OC, 8GB, GDDR6X, 256-bit, GV-N307TVISION OC-8GD;0;0
Placa de Video Gigabyte GeForce RTX 3070 Ti Gaming OC, 8GB, GDDR6X, 256-bit, GV-N307TGAMING OC-8GD;0;0
Placa de Video Asus GeForce RTX 3080 TUF Gaming OC, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080-O12G-GAMING;0;0
Placa de Video Asus GeForce RTX 3070 Ti ROG Strix OC, 8GB, GDDR6X, 256-bit, ROG-STRIX-RTX3070TI-8G-GAMING;0;0
Placa de Video Gigabyte GeForce RTX 2060 Super Windforce OC, 8GB, GDDR6, 256-bit, GV-N206SWF2OC-8GD rev 1.1;0;0
Placa de Video Asus GeForce RTX 3070 Noctua OC, LHR, 8GB, GDDR6, 256-bit, RTX3070-O8G-NOCTUA;0;0
Placa de Video MSI GeForce RTX 3050 Ventus 2x OC, 8GB, GDDR6, 128-bit, 912-V397-418;0;0
Placa de Video Gigabyte GeForce GTX 1650 D6 OC, 4GB, GDDR6, 128-bit, GV-N1656OC-4GD REV 2.0-IMP;0;0
Placa de Video Asus GeForce RTX 3080 ROG Strix OC, LHR, 12GB, GDDR6X, 384-bit, ROG-STRIX-RTX3080-O12G-GAMING;0;0
Placa de Video Asus GeForce RTX 3080 TUF Gaming, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080-12G-GAMING;0;0
Placa de Video MSI GeForce RTX 3060 Ventus 3X OC, 12GB, GDDR6, 192-bit, 912-V397-051;0;0
Placa de Video PNY Quadro RTX A2000, 6GB, GDDR6, 192-bit, VCNRTXA2000-PB-NAC;0;0
Placa de Video AMD Radeon PRO W6600, 8GB, GDDR6, 128-bit, 100-506208;0;0
Placa de Video Galax Geforce RTX 3060 Ti 1-Click OC, LHR, 8GB, GDDR6, 256-Bit, 36ISL6MD1VQW-NAC;0;0
Placa de Video Galax GeForce RTX 2060 1-Click OC, 6GB, GDDR6, 192-bit, 26NRL7HPX7OC-NAC;0;0
